"","Selected","lon","lat","parasit_yes","parasit","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"67","FI18_HA70240",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"68","FI18_HA70238",24.70126,60.14174,0,0,5.14166688919067,6.26666641235352,21.387939453125,8.17620788574219,20.6000003814697,-8.69999980926514,29.2999992370605,10.6999998092651,3.51666665077209,15.6166667938232,-4.46666669845581,638,76,32,29.3894844055176,213,107,188,138
"69","FI18_HA70215",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"70","FI18_HA70216",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"71","FI18_HA70221",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"72","FI18_HA70220_c",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"73","FI18_HA70228",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"74","FI18_HA70222",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"75","FI18_HA70223",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
"76","FI18_HA70204",25.69772,60.33569,0,0,4.57499980926514,8.23333263397217,25.1783885955811,8.46773254394531,21.7999992370605,-10.8999996185303,32.6999969482422,9.91666603088379,3.29999995231628,15.4166660308838,-5.43333339691162,666,78,33,27.7856121063232,215,112,192,151
